district,isocode,trust_relatives,trust_neighbors,intra_group_trust,inter_group_trust,trust_local_council,export_area,export_pop,exports
Kati,TZA,3.0,3.0,3.0,2.0,3.0,0.12169116699999999,0.004790450999999999,4.79045105
Kigoma Urban,TZA,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.3333333333333335,2.0,0.4760155876666667,0.07815456766666666,39.87569173
Kilombero,TZA,2.5833333333333335,2.1666666666666665,2.3333333333333335,1.75,2.0833333333333335,0.056442004416666684,0.027032521416666663,1.7252463250833332
Kinondoni,TZA,2.1904761904761907,1.7619047619047619,1.8571428571428572,1.5714285714285714,2.3529411764705883,0.44275554604545453,0.0644023399047619,9.437721199545454
Kisarawe,TZA,2.625,2.125,2.375,2.25,2.875,0.2086718775,0.037047997375,15.77986009725
Kondoa,TZA,2.0,2.0,2.0,2.0,3.0,0.12169116699999999,0.004790450999999999,4.79045105
Kongwa,TZA,2.727272727272727,2.4545454545454546,2.272727272727273,1.7272727272727273,2.4545454545454546,0.07292373472727273,0.02233173936363637,2.4201105293636367
Lindi Rural,TZA,1.0,1.0,1.0,1.0,3.0,0.006082553,0.0019313429999999999,0.347641766
Lushoto,TZA,3.0,2.0,2.0,2.0,0.0,0.407197744,0.028709155,2.870915413
Magharibi,TZA,3.0,3.0,3.0,2.5,3.0,0.27666298450000004,0.058830996999999996,8.853619963
Magu,TZA,2.8125,2.375,2.3333333333333335,1.8,2.6875,0.12169116700000003,0.004790451,4.790451050000001
Manyoni,TZA,2.625,2.375,2.25,2.125,2.625,0.2205702555,0.019791916374999996,2.96878749125
Masasi,TZA,1.0,1.0,1.0,1.0,3.0,0.547243416,0.11573065099999999,17.35959816
Mbarali,TZA,2.0,2.2857142857142856,2.142857142857143,1.8571428571428572,3.0,0.119682312,0.04001882299999999,4.001882553000001
Mbeya Rural,TZA,2.625,2.25,2.25,2.25,2.25,1.1728741191250003,0.045757305625,9.156480294249999
Mbeya Urban,TZA,2.5,2.5,2.5,2.5,2.25,1.3366134170000001,0.052198462,10.4396925
Mbinga,TZA,2.0,1.8,2.0,2.4,1.8,0.11431472560000003,0.0246912046,3.7500330448
Mbozi,TZA,2.75,1.75,1.75,1.75,2.75,1.3366134170000001,0.052198462,10.4396925
Mbulu,TZA,2.0,2.0,1.0,1.0,2.0,0.252080292,0.022619333,3.39289999
Meatu,TZA,2.8125,2.375,2.4375,1.6875,2.1333333333333333,0.11408546906250003,0.0044910478125,4.4910478593750005
Misungwi,TZA,2.625,2.3333333333333335,2.2916666666666665,1.8333333333333333,2.625,0.11662070170833332,0.004590848875,4.590848922916668
Mjini,TZA,2.5,2.5,2.5,2.5,3.0,0.8052552490000001,0.129426731,19.4140100475
Morogoro Rural,TZA,2.6666666666666665,2.4,2.066666666666667,1.9333333333333333,2.066666666666667,1.5792907479999996,0.17051497100000007,25.57724571
Morogoro Urban,TZA,2.857142857142857,2.0,2.0,1.5714285714285714,1.7142857142857142,1.1442142021428572,0.14220734433333335,18.368886863
Moshi Rural,TZA,2.3225806451612905,1.8709677419354838,1.6774193548387097,1.7096774193548387,2.096774193548387,0.026699033999999986,0.0006692109999999997,0.173994854
Mufindi,TZA,2.2,2.0,2.2,1.6,2.4,0.11968231199999999,0.040018822999999995,4.001882553
Muheza,TZA,3.0,2.3333333333333335,3.0,2.3333333333333335,2.3333333333333335,0.633269365,0.07723439366666666,5.19084708
Muleba,TZA,2.5625,2.4375,2.1875,1.1875,2.875,0.0,0.0,0.0
Musoma Rural,TZA,3.0,3.0,3.0,3.0,3.0,0.12169116699999999,0.004790450999999999,4.79045105
Mvomero,TZA,2.625,1.9375,1.9375,1.4375,2.25,0.9430069781250001,0.10899888875,18.5793899580625
Mwanga,TZA,2.125,1.875,1.875,1.5714285714285714,1.625,0.4071977439999999,0.028709154999999993,2.8709154129999996
Nachingwea,TZA,1.0,1.0,1.0,1.0,3.0,0.547243416,0.11573065099999999,17.35959816
Ngara,TZA,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
Nkasi,TZA,2.3846153846153846,2.6923076923076925,2.4615384615384617,2.1538461538461537,2.6923076923076925,0.155996934,0.15079556400000002,2.2619333270000004
Nyamagana,TZA,2.4444444444444446,2.3333333333333335,2.3333333333333335,2.111111111111111,2.5555555555555554,0.3051819167777777,0.021827445,10.752745080444445
Nzega,TZA,2.34375,2.125,2.09375,1.90625,2.4375,0.48708822581249983,0.08044719631249997,40.972105501249985
Rufiji,TZA,2.5,1.5,1.5,2.0,1.5,0.47722058,0.072219903,10.1152567865
Rungwe,TZA,2.8181818181818183,2.727272727272727,2.5454545454545454,2.272727272727273,2.4,1.3366134170000004,0.052198462,10.439692500000001
Sengerema,TZA,2.6923076923076925,1.9230769230769231,1.9230769230769231,1.9230769230769231,2.4545454545454546,0.11279819669230771,0.004570519615384616,4.448696489692309
Shinyanga Rural,TZA,2.5625,2.1875,2.375,2.0,2.2857142857142856,0.12169116700000003,0.004790451,4.790451050000001
Simanjiro,TZA,1.5,1.3333333333333333,1.1666666666666667,1.0,1.8333333333333333,0.05629785066666667,0.004201158166666666,0.6669803298333333
Singida Rural,TZA,2.4375,2.03125,2.21875,1.96875,2.8125,0.26461458906249985,0.02550112340624999,5.081194117499998
Songea Urban,TZA,2.75,2.25,2.5,2.0,2.25,0.006082553,0.0019313429999999999,0.347641766
Sumbawanga Rural,TZA,2.466666666666667,2.4,2.466666666666667,1.8666666666666667,2.8666666666666667,0.16274936260000003,0.1327321886666667,2.1749126953333335
Sumbawanga Urban,TZA,2.75,2.25,2.25,2.125,1.875,0.283123536,0.101454493,3.339225629875
Tabora,TZA,1.875,1.625,1.5,1.375,2.875,0.459896160875,0.0756029535,36.288764691125
Tandahimba,TZA,2.125,1.75,1.125,1.0,1.125,0.547243416,0.115730651,17.35959816
Tanga Urban,TZA,2.0,0.5,1.5,1.5,2.0,0.3344672915,0.060260550999999996,11.075024605
Tarime,TZA,2.2,1.4,1.4,1.2,2.6,0.29852207020000004,0.0405988052,2.5403251653999996
Temeke,TZA,2.066666666666667,1.7333333333333334,1.6666666666666667,1.4666666666666666,1.9285714285714286,0.6264996163333334,0.06317423146666666,10.092929436733336
